LasikACHGOALSScl,"LASIK Goals","Did you achieve the goals you had for LASIK surgery?",1;2;3,"Yes, fully achieved;Yes, partially achieved;No",1;2;3
LasikSTBANVCScl,"Starburst no corr active","In the last 7 days, how much difficulty have you had doing your usual activities because you see starbursts when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I always use glasses or contact lenses",1;2;3;4;5;6
LasikSTBAWVCScl,"Starburst correct active","In the last 7 days, how much difficulty have you had doing your usual activities because you see starbursts when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikSTBBNVCScl,"Starburst no correct bthr","In the last 7 days, how bothersome have the starbursts been when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I always use glasses or contact lenses",1;2;3;4;5;6
LasikSTBBWVCScl,"Starburst correct bother","In the last 7 days, how bothersome have the starbursts been when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikSTBOWBVScl,"Starburst with correction","In the last 7 days, how often have you seen starbursts when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Never;Rarely;Sometimes;Often;Always;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikSTBSNBCScl,"Starburst best correction","When you use your best vision correction (glasses or contact lenses) do the starbursts you see:",1;2;3;4;5;6;7,"Go away completely;Go away mostly;Go away a little;Not change;Get a little worse;Get a lot worse;I do not use glasses or contact lenses",1;2;3;4;5;6;7
LasikSTBWOVCScl,"Starburst no corection","In the last 7 days, how often have you seen starbursts when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Never;Rarely;Sometimes;Often;Always;I always use glasses or contact lenses",1;2;3;4;5;6
LasikSTPWORRYScl,"Not control worry","Over the last 2 weeks, how often have you been bothered by not being able to stop or control worrying?",0;1;2;3,"Not at all;Several days;More than half the days;Nearly every day",0;1;2;3
LasikSYMPIMPScl,"LASIK Discomfort","Currently, how satisfied or dissatisfied are you with how long it took to see improvement in your post-operative symptoms of discomfort after LASIK surgery?",1;2;3;4;5;6;7,"Completely satisfied;Very satisfied;Somewhat satisfied;Somewhat dissatisfied;Very dissatisfied;Completely dissatisfied;Never had any post-operative symptoms after LASIK surgery",1;2;3;4;5;6;7
LasikTBLSEEBTScl,"Bothersome trouble seeing","How bothersome has it been?",1;2;3;4,"Very;Somewhat;A little;Not at all",1;2;3;4
LasikTBLSEEInd,"Trouble see last 7 days","Have you experienced trouble seeing in the last 7 days?",1;2,"Yes;No",1;2
LasikTHNKScl,"Notice eyesight or vision","How often do you notice or think about your eyesight or vision?",1;2;3;4;5,"Never;Rarely;Occasionally;Sometimes;All the time",1;2;3;4;5
LasikUSEDDARKScl,"Difficult walk into dark","How much difficulty to you have getting used to the dark when you move from a lighted area into a dark place, like walking into a dark movie theater?",1;2;3;4,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty",1;2;3;4
LasikVCLARBOTScl,"Bothered clarity changes","How often are you bothered by changes in the clarity of your vision over the course of the day?",1;2;3;4;5,"Never;Rarely;Occasionally;Sometimes;All the time",1;2;3;4;5
LasikVCLARSEEScl,"Difficult clarity changes","How much difficulty do you have seeing because of changes in the clarity of your vision during the course of the day?",1;2;3;4;5,"Don't have changes in clarity of my vision;No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty",1;2;3;4;5
LasikVISNAIDTyp,"In a typical day use","In a typical day",1;2;3;4;5;6;7,"I use glasses to correct my vision for distance;I use glasses to correct my vision for reading;I use soft contact lenses to correct my vision for distance;I use soft contact lenses to correct my vision for reading;I use hard (rigid gas permeable) contact lenses to correct my vision for distance;I use hard (rigid gas permeable) contact lenses to correct my vision for reading;I do not use glasses or contact lenses",1;2;3;4;5;6;7
LasikVSNCLRYScl,"Clear vision with correct","At this time, how clear is your vision using the correction you normally use, including glasses, contact lenses, a magnifier, or nothing at all?",1;2;3;4,"Perfectly clear;Pretty clear;Somewhat clear;Not clear at all",1;2;3;4
LasikVSNWRRYScl,"Worry about eyesight","How often do you worry about your eyesight or vision?",1;2;3;4;5,"Never;Rarely;Occasionally;Sometimes;All of the time",1;2;3;4;5
LasikWEARGLCLScl,"LASIK Wear Glasses","Are you currently wearing glasses or contact lenses to see things in the distance?",1;2;3;4,"No, none of the time;Yes, some of the time;Yes, most of the time;Yes, all of the time",1;2;3;4
LasikWNDYCONDScl,"Windy conditions","Windy conditions?",0;1;2;3;4,"None of the time;Some of the time;Half of the time;Most of the time;All of the time",0;1;2;3;4
LasikWORKHOBScl,"Difficulty with hobbies","How much difficulty do you have doing work or hobbies that require you to see well up close, such as cooking, fixing things around the house, sewing using hand tools, or working with a computer?",1;2;3;4;5;6,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never try to do these activities because of vision;Never do these activities for other reasons",1;2;3;4;5;6
LasikWORKPRODScl,"Eyes affect productivity","During the past seven days, how much did eye problems affect your productivity while you were working?",0;1;10;2;3;4;5;6;7;8;9,"0 -Eye problem(s) had no effect on my work;1;10 -Eye problem(s) completely prevented me from working;2;3;4;5;6;7;8;9",0;1;10;2;3;4;5;6;7;8;9
LasikVisitNoLasikxxx,"Visit Number","The visit in which the questions were answered",0;000A;003A;1;3;444;6,"Baseline (0 month);Baseline intemediate;3 months intermediate;1 month after surgery;3 months after surgery;Other, specify;6months",0;2;4;1;3;444;6
